Preguntas,Notas
¿Qué problema social es más importante para ti y por qué?,
¿Cuál es tu recuerdo favorito de la infancia?,
Top 3 de películas favoritas,
¿Qué es lo que más te gusta hacer en tu tiempo libre?,
"Si pudieras viajar a cualquier lugar del mundo, ¿a dónde irías y por qué?",
¿Cuál es tu mayor sueño o meta en la vida?,
¿Cuál ha sido el mayor desafío que has enfrentado y cómo lo superaste?,
¿Tienes alguna tradición familiar que te gustaría mantener?,
¿Tienes alguna tradición familiar que te gustaría crear en el futuro?,
"¿Qué es algo que siempre has querido aprender o hacer, pero no has tenido la oportunidad?",
"¿Cuál es un regalo, objeto o comida que aprecias mucho y que cuesta menos de $10?",
¿Cuál es tu plato favorito?,
¿Cuál es tu restaurante favorito?,
¿Cuál es tu lenguaje del amor?,"(Por ejemplo: palabras de afirmación, actos de servicio, recibir regalos, tiempo de calidad, o contacto físico)"
¿Cuál es tu atuendo favorito que visto yo?,
¿Cuál es tu actividad favorita que hagamos juntos?,
¿Qué hábito tuyo quisieras eliminar?,
¿Qué es lo que más admiras de mi?,
¿Qué canción te recuerda a mi?,
